hjd,phase,baseline_flux,model_flux,model_normalized_flux
2455153.9340538415,-0.0072273311,1.0003081693,0.9891901247,0.9888853806
2455153.9340901235,-0.0072141692,1.0003066603,0.9891867493,0.9888834980
2455153.9341264060,-0.0072010072,1.0003051512,0.9891833792,0.9888816208
2455153.9341626880,-0.0071878453,1.0003036422,0.9891800147,0.9888797490
2455153.9341989704,-0.0071746833,1.0003021332,0.9891766555,0.9888778827
2455153.9342352524,-0.0071615214,1.0003006242,0.9891733018,0.9888760217
2455153.9342715349,-0.0071483594,1.0002991152,0.9891699534,0.9888741661
2455153.9343078169,-0.0071351975,1.0002976062,0.9891666104,0.9888723159
2455153.9343440994,-0.0071220355,1.0002960971,0.9891632727,0.9888704710
2455153.9343803814,-0.0071088736,1.0002945881,0.9891599404,0.9888686315
2455153.9344166638,-0.0070957116,1.0002930791,0.9891566134,0.9888667972
2455153.9344529458,-0.0070825497,1.0002915701,0.9891532917,0.9888649683
2455153.9344892278,-0.0070693879,1.0002900611,0.9891499754,0.9888631446
2455153.9345255103,-0.0070562258,1.0002885521,0.9891466642,0.9888613262
2455153.9345617923,-0.0070430640,1.0002870431,0.9891433584,0.9888595131
2455153.9345980748,-0.0070299019,1.0002855340,0.9891400577,0.9888577052
2455153.9346343568,-0.0070167401,1.0002840250,0.9891367623,0.9888559025
2455153.9346706392,-0.0070035780,1.0002825160,0.9891334721,0.9888541050
2455153.9347069212,-0.0069904162,1.0002810070,0.9891301872,0.9888523127
2455153.9347432037,-0.0069772541,1.0002794980,0.9891269073,0.9888505256
2455153.9347794857,-0.0069640923,1.0002779890,0.9891236327,0.9888487437
2455153.9348157682,-0.0069509302,1.0002764799,0.9891203632,0.9888469668
2455153.9348520502,-0.0069377684,1.0002749709,0.9891170989,0.9888451952
2455153.9348883326,-0.0069246063,1.0002734619,0.9891138396,0.9888434286
2455153.9349246146,-0.0069114445,1.0002719529,0.9891105855,0.9888416671
2455153.9349608971,-0.0068982824,1.0002704439,0.9891073365,0.9888399108
2455153.9349971791,-0.0068851206,1.0002689349,0.9891040925,0.9888381595
2455153.9350334615,-0.0068719585,1.0002674258,0.9891008536,0.9888364132
2455153.9350697435,-0.0068587967,1.0002659168,0.9890976198,0.9888346720
2455153.9351060260,-0.0068456346,1.0002644078,0.9890943910,0.9888329358
2455153.9351423080,-0.0068324728,1.0002628988,0.9890911672,0.9888312047
2455153.9351785905,-0.0068193107,1.0002613898,0.9890879484,0.9888294785
2455153.9352148725,-0.0068061489,1.0002598808,0.9890847347,0.9888277574
2455153.9352511549,-0.0067929868,1.0002583717,0.9890815259,0.9888260412
2455153.9352874369,-0.0067798250,1.0002568627,0.9890783221,0.9888243300
2455153.9353237194,-0.0067666629,1.0002553537,0.9890751232,0.9888226237
2455153.9353600014,-0.0067535011,1.0002538447,0.9890719293,0.9888209223
2455153.9353962839,-0.0067403390,1.0002523357,0.9890687403,0.9888192259
2455153.9354325659,-0.0067271772,1.0002508267,0.9890655562,0.9888175344
2455153.9354688483,-0.0067140151,1.0002493177,0.9890623770,0.9888158478
2455153.9355051303,-0.0067008533,1.0002478086,0.9890592028,0.9888141661
2455153.9355414128,-0.0066876912,1.0002462996,0.9890560333,0.9888124892
2455153.9355776948,-0.0066745294,1.0002447906,0.9890528688,0.9888108172
2455153.9356139773,-0.0066613673,1.0002432816,0.9890497091,0.9888091500
2455153.9356502593,-0.0066482055,1.0002417726,0.9890465542,0.9888074877
2455153.9356865417,-0.0066350434,1.0002402636,0.9890434042,0.9888058301
2455153.9357228237,-0.0066218816,1.0002387545,0.9890402589,0.9888041774
2455153.9357591062,-0.0066087195,1.0002372455,0.9890371185,0.9888025295
2455153.9357953882,-0.0065955577,1.0002357365,0.9890339829,0.9888008864
2455153.9358316706,-0.0065823956,1.0002342275,0.9890308520,0.9887992480
2455153.9358679526,-0.0065692338,1.0002327185,0.9890277259,0.9887976144
2455153.9359042351,-0.0065560717,1.0002312095,0.9890246045,0.9887959855
2455153.9359405171,-0.0065429099,1.0002297005,0.9890214879,0.9887943614
2455153.9359767996,-0.0065297478,1.0002281914,0.9890183760,0.9887927419
2455153.9360130816,-0.0065165860,1.0002266824,0.9890152688,0.9887911272
2455153.9360493640,-0.0065034239,1.0002251734,0.9890121663,0.9887895172
2455153.9360856460,-0.0064902621,1.0002236644,0.9890090685,0.9887879119
2455153.9361219285,-0.0064771000,1.0002221554,0.9890059754,0.9887863112
2455153.9361582105,-0.0064639382,1.0002206464,0.9890028869,0.9887847152
2455153.9361944930,-0.0064507761,1.0002191373,0.9889998031,0.9887831238
2455153.9362307750,-0.0064376143,1.0002176283,0.9889967239,0.9887815371
2455153.9362670574,-0.0064244522,1.0002161193,0.9889936494,0.9887799550
2455153.9363033394,-0.0064112903,1.0002146103,0.9889905795,0.9887783775
2455153.9363396214,-0.0063981285,1.0002131013,0.9889875142,0.9887768046
2455153.9363759039,-0.0063849664,1.0002115923,0.9889844535,0.9887752363
2455153.9364121859,-0.0063718046,1.0002100833,0.9889813974,0.9887736726
2455153.9364484684,-0.0063586425,1.0002085742,0.9889783458,0.9887721134
2455153.9364847504,-0.0063454807,1.0002070652,0.9889752988,0.9887705588
2455153.9365210328,-0.0063323186,1.0002055562,0.9889722564,0.9887690088
2455153.9365573148,-0.0063191568,1.0002040472,0.9889692185,0.9887674633
2455153.9365935973,-0.0063059947,1.0002025382,0.9889661851,0.9887659223
2455153.9366298793,-0.0062928329,1.0002010292,0.9889631563,0.9887643858
2455153.9366661618,-0.0062796708,1.0001995201,0.9889601319,0.9887628538
2455153.9367024438,-0.0062665090,1.0001980111,0.9889571121,0.9887613264
2455153.9367387262,-0.0062533469,1.0001965021,0.9889540967,0.9887598033
2455153.9367750082,-0.0062401851,1.0001949931,0.9889510859,0.9887582848
2455153.9368112907,-0.0062270230,1.0001934841,0.9889480794,0.9887567707
2455153.9368475727,-0.0062138612,1.0001919751,0.9889450775,0.9887552611
2455153.9368838551,-0.0062006991,1.0001904660,0.9889420799,0.9887537559
2455153.9369201371,-0.0061875373,1.0001889570,0.9889390869,0.9887522552
2455153.9369564196,-0.0061743752,1.0001874480,0.9889360982,0.9887507588
2455153.9369927016,-0.0061612134,1.0001859390,0.9889331139,0.9887492669
2455153.9370289841,-0.0061480513,1.0001844300,0.9889301341,0.9887477793
2455153.9370652661,-0.0061348895,1.0001829210,0.9889271586,0.9887462962
2455153.9371015485,-0.0061217274,1.0001814119,0.9889241875,0.9887448174
2455153.9371378305,-0.0061085656,1.0001799029,0.9889212208,0.9887433430
2455153.9371741130,-0.0060954035,1.0001783939,0.9889182585,0.9887418730
2455153.9372103950,-0.0060822417,1.0001768849,0.9889153005,0.9887404073
2455153.9372466775,-0.0060690796,1.0001753759,0.9889123468,0.9887389459
2455153.9372829595,-0.0060559178,1.0001738669,0.9889093975,0.9887374888
2455153.9373192419,-0.0060427557,1.0001723578,0.9889064525,0.9887360361
2455153.9373555239,-0.0060295939,1.0001708488,0.9889035119,0.9887345877
2455153.9373918064,-0.0060164318,1.0001693398,0.9889005755,0.9887331436
2455153.9374280884,-0.0060032700,1.0001678308,0.9888976434,0.9887317038
2455153.9374643709,-0.0059901079,1.0001663218,0.9888947156,0.9887302682
2455153.9375006529,-0.0059769461,1.0001648128,0.9888917921,0.9887288369
2455153.9375369353,-0.0059637840,1.0001633037,0.9888888728,0.9887274099
2455153.9375732173,-0.0059506222,1.0001617947,0.9888859578,0.9887259871
2455153.9376094998,-0.0059374601,1.0001602857,0.9888830470,0.9887245686
2455153.9376457818,-0.0059242983,1.0001587767,0.9888801405,0.9887231543
2455153.9376820643,-0.0059111362,1.0001572677,0.9888772382,0.9887217442
2455153.9377183462,-0.0058979744,1.0001557587,0.9888743401,0.9887203383
2455153.9377546287,-0.0058848123,1.0001542497,0.9888714462,0.9887189367
2455153.9377909107,-0.0058716505,1.0001527406,0.9888685566,0.9887175392
2455153.9378271932,-0.0058584884,1.0001512316,0.9888656711,0.9887161459
2455153.9378634752,-0.0058453266,1.0001497226,0.9888627898,0.9887147568
2455153.9378997576,-0.0058321645,1.0001482136,0.9888599126,0.9887133719
2455153.9379360396,-0.0058190027,1.0001467046,0.9888570397,0.9887119911
2455153.9379723221,-0.0058058406,1.0001451956,0.9888541709,0.9887106145
2455153.9380086041,-0.0057926788,1.0001436865,0.9888513062,0.9887092420
2455153.9380448866,-0.0057795167,1.0001421775,0.9888484457,0.9887078736
2455153.9380811686,-0.0057663549,1.0001406685,0.9888455893,0.9887065094
2455153.9381174510,-0.0057531928,1.0001391595,0.9888427370,0.9887051493
2455153.9381537330,-0.0057400310,1.0001376505,0.9888398888,0.9887037933
2455153.9381900150,-0.0057268691,1.0001361415,0.9888370448,0.9887024414
2455153.9382262975,-0.0057137071,1.0001346325,0.9888342048,0.9887010935
2455153.9382625795,-0.0057005452,1.0001331234,0.9888313689,0.9886997498
2455153.9382988620,-0.0056873832,1.0001316144,0.9888285371,0.9886984101
2455153.9383351440,-0.0056742213,1.0001301054,0.9888257094,0.9886970745
2455153.9383714264,-0.0056610593,1.0001285964,0.9888228857,0.9886957430
2455153.9384077084,-0.0056478974,1.0001270874,0.9888200661,0.9886944155
2455153.9384439909,-0.0056347354,1.0001255784,0.9888172504,0.9886930920
2455153.9384802729,-0.0056215735,1.0001240693,0.9888144389,0.9886917726
2455153.9385165554,-0.0056084115,1.0001225603,0.9888116314,0.9886904571
2455153.9385528374,-0.0055952496,1.0001210513,0.9888088279,0.9886891458
2455153.9385891198,-0.0055820876,1.0001195423,0.9888060284,0.9886878384
2455153.9386254018,-0.0055689257,1.0001180333,0.9888032329,0.9886865350
2455153.9386616843,-0.0055557637,1.0001165243,0.9888004414,0.9886852355
2455153.9386979663,-0.0055426018,1.0001150153,0.9887976539,0.9886839401
2455153.9387342487,-0.0055294398,1.0001135062,0.9887948703,0.9886826487
2455153.9387705307,-0.0055162779,1.0001119972,0.9887920908,0.9886813612
2455153.9388068132,-0.0055031159,1.0001104882,0.9887893151,0.9886800777
2455153.9388430952,-0.0054899540,1.0001089792,0.9887865435,0.9886787981
2455153.9388793777,-0.0054767920,1.0001074702,0.9887837758,0.9886775225
2455153.9389156597,-0.0054636301,1.0001059612,0.9887810120,0.9886762508
2455153.9389519421,-0.0054504681,1.0001044521,0.9887782522,0.9886749830
2455153.9389882241,-0.0054373062,1.0001029431,0.9887754963,0.9886737191
2455153.9390245066,-0.0054241442,1.0001014341,0.9887727443,0.9886724592
2455153.9390607886,-0.0054109823,1.0000999251,0.9887699962,0.9886712032
2455153.9390970711,-0.0053978203,1.0000984161,0.9887672520,0.9886699510
2455153.9391333531,-0.0053846584,1.0000969071,0.9887645118,0.9886687028
2455153.9391696355,-0.0053714964,1.0000953980,0.9887617753,0.9886674584
2455153.9392059175,-0.0053583345,1.0000938890,0.9887590428,0.9886662179
2455153.9392422000,-0.0053451725,1.0000923800,0.9887563142,0.9886649813
2455153.9392784820,-0.0053320106,1.0000908710,0.9887535894,0.9886637485
2455153.9393147645,-0.0053188486,1.0000893620,0.9887508684,0.9886625196
2455153.9393510465,-0.0053056867,1.0000878530,0.9887481514,0.9886612946
2455153.9393873289,-0.0052925247,1.0000863439,0.9887454381,0.9886600733
2455153.9394236109,-0.0052793628,1.0000848349,0.9887427287,0.9886588559
2455153.9394598934,-0.0052662008,1.0000833259,0.9887400231,0.9886576423
2455153.9394961754,-0.0052530389,1.0000818169,0.9887373214,0.9886564326
2455153.9395324579,-0.0052398769,1.0000803079,0.9887346234,0.9886552266
2455153.9395687399,-0.0052267150,1.0000787989,0.9887319293,0.9886540245
2455153.9396050223,-0.0052135530,1.0000772898,0.9887292390,0.9886528261
2455153.9396413043,-0.0052003911,1.0000757808,0.9887265524,0.9886516316
2455153.9396775868,-0.0051872291,1.0000742718,0.9887238696,0.9886504408
2455153.9397138688,-0.0051740672,1.0000727628,0.9887211907,0.9886492538
2455153.9397501512,-0.0051609052,1.0000712538,0.9887185154,0.9886480705
2455153.9397864332,-0.0051477433,1.0000697448,0.9887158440,0.9886468911
2455153.9398227157,-0.0051345813,1.0000682357,0.9887131763,0.9886457153
2455153.9398589977,-0.0051214194,1.0000667267,0.9887105124,0.9886445434
2455153.9398952802,-0.0051082574,1.0000652177,0.9887078522,0.9886433751
2455153.9399315622,-0.0050950955,1.0000637087,0.9887051957,0.9886422106
2455153.9399678446,-0.0050819335,1.0000621997,0.9887025430,0.9886410498
2455153.9400041266,-0.0050687716,1.0000606907,0.9886998940,0.9886398928
2455153.9400404086,-0.0050556097,1.0000591817,0.9886972487,0.9886387394
2455153.9400766911,-0.0050424477,1.0000576726,0.9886946071,0.9886375898
2455153.9401129731,-0.0050292858,1.0000561636,0.9886919693,0.9886364439
2455153.9401492556,-0.0050161238,1.0000546546,0.9886893351,0.9886353016
2455153.9401855376,-0.0050029619,1.0000531456,0.9886867046,0.9886341631
2455153.9402218200,-0.0049897999,1.0000516366,0.9886840778,0.9886330282
2455153.9402581020,-0.0049766380,1.0000501276,0.9886814547,0.9886318970
2455153.9402943845,-0.0049634760,1.0000486185,0.9886788353,0.9886307695
2455153.9403306665,-0.0049503141,1.0000471095,0.9886762195,0.9886296456
2455153.9403669490,-0.0049371521,1.0000456005,0.9886736074,0.9886285254
2455153.9404032310,-0.0049239902,1.0000440915,0.9886709989,0.9886274088
2455153.9404395134,-0.0049108282,1.0000425825,0.9886683941,0.9886262959
2455153.9404757954,-0.0048976663,1.0000410735,0.9886657929,0.9886251866
2455153.9405120779,-0.0048845043,1.0000395645,0.9886631953,0.9886240810
2455153.9405483599,-0.0048713424,1.0000380554,0.9886606014,0.9886229790
2455153.9405846423,-0.0048581804,1.0000365464,0.9886580111,0.9886218805
2455153.9406209243,-0.0048450185,1.0000350374,0.9886554245,0.9886207857
2455153.9406572068,-0.0048318565,1.0000335284,0.9886528414,0.9886196946
2455153.9406934888,-0.0048186946,1.0000320194,0.9886502619,0.9886186070
2455153.9407297713,-0.0048055326,1.0000305104,0.9886476860,0.9886175230
2455153.9407660533,-0.0047923707,1.0000290013,0.9886451138,0.9886164426
2455153.9408023357,-0.0047792087,1.0000274923,0.9886425451,0.9886153657
2455153.9408386177,-0.0047660468,1.0000259833,0.9886399800,0.9886142925
2455153.9408749002,-0.0047528848,1.0000244743,0.9886374184,0.9886132228
2455153.9409111822,-0.0047397229,1.0000229653,0.9886348605,0.9886121567
2455153.9409474647,-0.0047265609,1.0000214563,0.9886323061,0.9886110942
2455153.9409837467,-0.0047133990,1.0000199473,0.9886297552,0.9886100352
2455153.9410200291,-0.0047002370,1.0000184382,0.9886272079,0.9886089797
2455153.9410563111,-0.0046870751,1.0000169292,0.9886246642,0.9886079278
2455153.9410925936,-0.0046739131,1.0000154202,0.9886221239,0.9886068794
2455153.9411288756,-0.0046607512,1.0000139112,0.9886195873,0.9886058346
2455153.9411651581,-0.0046475892,1.0000124022,0.9886170541,0.9886047933
2455153.9412014401,-0.0046344273,1.0000108932,0.9886145245,0.9886037555
2455153.9412377225,-0.0046212653,1.0000093841,0.9886119984,0.9886027212
2455153.9412740045,-0.0046081034,1.0000078751,0.9886094758,0.9886016904
2455153.9413102870,-0.0045949414,1.0000063661,0.9886069566,0.9886006631
2455153.9413465690,-0.0045817795,1.0000048571,0.9886044411,0.9885996393
2455153.9413828515,-0.0045686175,1.0000033481,0.9886019289,0.9885986191
2455153.9414191335,-0.0045554556,1.0000018391,0.9885994203,0.9885976023
2455153.9414554159,-0.0045422936,1.0000003300,0.9885969152,0.9885965889
2455153.9414916979,-0.0045291317,0.9999988210,0.9885944136,0.9885955791
2455153.9415279804,-0.0045159697,0.9999973120,0.9885919154,0.9885945727
2455153.9415642624,-0.0045028078,0.9999958030,0.9885894207,0.9885935698
2455153.9416005448,-0.0044896458,0.9999942940,0.9885869294,0.9885925703
2455153.9416368268,-0.0044764839,0.9999927850,0.9885844416,0.9885915743
2455153.9416731093,-0.0044633219,0.9999912759,0.9885819573,0.9885905818
2455153.9417093913,-0.0044501600,0.9999897669,0.9885794764,0.9885895927
2455153.9417456738,-0.0044369980,0.9999882579,0.9885769989,0.9885886070
2455153.9417819558,-0.0044238361,0.9999867489,0.9885745249,0.9885876248
2455153.9418182378,-0.0044106743,0.9999852399,0.9885720543,0.9885866460
2455153.9418545202,-0.0043975122,0.9999837309,0.9885695871,0.9885856706
2455153.9418908022,-0.0043843504,0.9999822219,0.9885671234,0.9885846986
2455153.9419270847,-0.0043711883,0.9999807128,0.9885646631,0.9885837300
2455153.9419633667,-0.0043580265,0.9999792038,0.9885622062,0.9885827649
2455153.9419996492,-0.0043448644,0.9999776948,0.9885597526,0.9885818031
2455153.9420359312,-0.0043317025,0.9999761858,0.9885573025,0.9885808448
2455153.9420722136,-0.0043185405,0.9999746768,0.9885548558,0.9885798898
2455153.9421084956,-0.0043053786,0.9999731678,0.9885524125,0.9885789383
2455153.9421447781,-0.0042922166,0.9999716587,0.9885499725,0.9885779901
2455153.9421810601,-0.0042790547,0.9999701497,0.9885475360,0.9885770453
2455153.9422173426,-0.0042658927,0.9999686407,0.9885451028,0.9885761038
2455153.9422536246,-0.0042527308,0.9999671317,0.9885426730,0.9885751657
2455153.9422899070,-0.0042395688,0.9999656227,0.9885402465,0.9885742310
2455153.9423261890,-0.0042264069,0.9999641137,0.9885378234,0.9885732997
2455153.9423624715,-0.0042132449,0.9999626046,0.9885354037,0.9885723717
2455153.9423987535,-0.0042000830,0.9999610956,0.9885329873,0.9885714470
2455153.9424350359,-0.0041869210,0.9999595866,0.9885305742,0.9885705257
2455153.9424713179,-0.0041737591,0.9999580776,0.9885281645,0.9885696077
2455153.9425076004,-0.0041605971,0.9999565686,0.9885257582,0.9885686931
2455153.9425438824,-0.0041474352,0.9999550596,0.9885233551,0.9885677818
2455153.9425801649,-0.0041342732,0.9999535505,0.9885209554,0.9885668738
2455153.9426164469,-0.0041211113,0.9999520415,0.9885185591,0.9885659692
2455153.9426527293,-0.0041079493,0.9999505325,0.9885161660,0.9885650678
2455153.9426890113,-0.0040947874,0.9999490235,0.9885137762,0.9885641698
2455153.9427252938,-0.0040816254,0.9999475145,0.9885113898,0.9885632750
2455153.9427615758,-0.0040684635,0.9999460055,0.9885090067,0.9885623836
2455153.9427978583,-0.0040553015,0.9999444965,0.9885066268,0.9885614955
2455153.9428341403,-0.0040421396,0.9999429874,0.9885042503,0.9885606106
2455153.9428704227,-0.0040289776,0.9999414784,0.9885018770,0.9885597291
2455153.9429067047,-0.0040158157,0.9999399694,0.9884995071,0.9885588508
2455153.9429429872,-0.0040026537,0.9999384604,0.9884971404,0.9885579758
2455153.9429792692,-0.0039894918,0.9999369514,0.9884947770,0.9885571041
2455153.9430155517,-0.0039763298,0.9999354424,0.9884924168,0.9885562357
2455153.9430518337,-0.0039631679,0.9999339333,0.9884900600,0.9885553705
2455153.9430881161,-0.0039500059,0.9999324243,0.9884877064,0.9885545086
2455153.9431243981,-0.0039368440,0.9999309153,0.9884853560,0.9885536500
2455153.9431606806,-0.0039236820,0.9999294063,0.9884830089,0.9885527945
2455153.9431969626,-0.0039105201,0.9999278973,0.9884806651,0.9885519424
2455153.9432332451,-0.0038973581,0.9999263883,0.9884783245,0.9885510935
2455153.9432695271,-0.0038841962,0.9999248793,0.9884759872,0.9885502478
2455153.9433058095,-0.0038710342,0.9999233702,0.9884736531,0.9885494054
2455153.9433420915,-0.0038578723,0.9999218612,0.9884713222,0.9885485662
2455153.9433783740,-0.0038447103,0.9999203522,0.9884689946,0.9885477302
2455153.9434146560,-0.0038315484,0.9999188432,0.9884666702,0.9885468975
2455153.9434509384,-0.0038183864,0.9999173342,0.9884643490,0.9885460680
2455153.9434872204,-0.0038052245,0.9999158252,0.9884620310,0.9885452416
2455153.9435235029,-0.0037920625,0.9999143161,0.9884597162,0.9885444185
2455153.9435597849,-0.0037789006,0.9999128071,0.9884574047,0.9885435987
2455153.9435960674,-0.0037657386,0.9999112981,0.9884550963,0.9885427820
2455153.9436323494,-0.0037525767,0.9999097891,0.9884527912,0.9885419685
2455153.9436686314,-0.0037394149,0.9999082801,0.9884504893,0.9885411582
2455153.9437049138,-0.0037262528,0.9999067711,0.9884481905,0.9885403511
2455153.9437411958,-0.0037130910,0.9999052621,0.9884458950,0.9885395472
2455153.9437774783,-0.0036999289,0.9999037530,0.9884436026,0.9885387464
2455153.9438137603,-0.0036867671,0.9999022440,0.9884413134,0.9885379489
2455153.9438500428,-0.0036736050,0.9999007350,0.9884390274,0.9885371545
2455153.9438863248,-0.0036604432,0.9998992260,0.9884367445,0.9885363633
2455153.9439226072,-0.0036472811,0.9998977170,0.9884344648,0.9885355753
2455153.9439588892,-0.0036341193,0.9998962080,0.9884321884,0.9885347904
2455153.9439951717,-0.0036209572,0.9998946989,0.9884299150,0.9885340087
2455153.9440314537,-0.0036077954,0.9998931899,0.9884276448,0.9885332301
2455153.9440677362,-0.0035946333,0.9998916809,0.9884253778,0.9885324547
2455153.9441040182,-0.0035814715,0.9998901719,0.9884231139,0.9885316825
2455153.9441403006,-0.0035683094,0.9998886629,0.9884208532,0.9885309134
2455153.9441765826,-0.0035551476,0.9998871539,0.9884185956,0.9885301474
2455153.9442128651,-0.0035419855,0.9998856448,0.9884163411,0.9885293846
2455153.9442491471,-0.0035288237,0.9998841358,0.9884140898,0.9885286249
2455153.9442854295,-0.0035156616,0.9998826268,0.9884118416,0.9885278683
2455153.9443217115,-0.0035024998,0.9998811178,0.9884095966,0.9885271149
2455153.9443579940,-0.0034893377,0.9998796088,0.9884073546,0.9885263645
2455153.9443942760,-0.0034761759,0.9998780998,0.9884051159,0.9885256174
2455153.9444305585,-0.0034630138,0.9998765907,0.9884028802,0.9885248733
2455153.9444668405,-0.0034498520,0.9998750817,0.9884006476,0.9885241323
2455153.9445031229,-0.0034366899,0.9998735727,0.9883984181,0.9885233944
2455153.9445394049,-0.0034235281,0.9998720637,0.9883961918,0.9885226597
2455153.9445756874,-0.0034103660,0.9998705547,0.9883939685,0.9885219280
2455153.9446119694,-0.0033972042,0.9998690457,0.9883917484,0.9885211995
2455153.9446482519,-0.0033840421,0.9998675366,0.9883895313,0.9885204740
2455153.9446845339,-0.0033708803,0.9998660276,0.9883873173,0.9885197517
2455153.9447208163,-0.0033577182,0.9998645186,0.9883851065,0.9885190324
2455153.9447570983,-0.0033445564,0.9998630096,0.9883828987,0.9885183162
2455153.9447933808,-0.0033313943,0.9998615006,0.9883806940,0.9885176031
2455153.9448296628,-0.0033182325,0.9998599916,0.9883784924,0.9885168931
2455153.9448659453,-0.0033050704,0.9998584825,0.9883762938,0.9885161861
2455153.9449022273,-0.0032919086,0.9998569735,0.9883740983,0.9885154822
2455153.9449385097,-0.0032787465,0.9998554645,0.9883719059,0.9885147814
2455153.9449747917,-0.0032655847,0.9998539555,0.9883697166,0.9885140836
2455153.9450110742,-0.0032524226,0.9998524465,0.9883675303,0.9885133889
2455153.9450473562,-0.0032392608,0.9998509375,0.9883653471,0.9885126973
2455153.9450836387,-0.0032260987,0.9998494285,0.9883631669,0.9885120087
2455153.9451199207,-0.0032129369,0.9998479194,0.9883609898,0.9885113232
2455153.9451562031,-0.0031997748,0.9998464104,0.9883588157,0.9885106407
2455153.9451924851,-0.0031866130,0.9998449014,0.9883566447,0.9885099612
2455153.9452287676,-0.0031734509,0.9998433924,0.9883544768,0.9885092848
2455153.9452650496,-0.0031602891,0.9998418834,0.9883523118,0.9885086115
2455153.9453013320,-0.0031471270,0.9998403744,0.9883501499,0.9885079412
2455153.9453376140,-0.0031339652,0.9998388653,0.9883479911,0.9885072739
2455153.9453738965,-0.0031208031,0.9998373563,0.9883458352,0.9885066096
2455153.9454101785,-0.0031076413,0.9998358473,0.9883436825,0.9885059484
2455153.9454464610,-0.0030944792,0.9998343383,0.9883415327,0.9885052901
2455153.9454827430,-0.0030813174,0.9998328293,0.9883393859,0.9885046350
2455153.9455190250,-0.0030681555,0.9998313203,0.9883372422,0.9885039828
2455153.9455553074,-0.0030549935,0.9998298113,0.9883351015,0.9885033336
2455153.9455915894,-0.0030418316,0.9998283022,0.9883329638,0.9885026875
2455153.9456278719,-0.0030286696,0.9998267932,0.9883308291,0.9885020443
2455153.9456641539,-0.0030155077,0.9998252842,0.9883286974,0.9885014042
2455153.9457004364,-0.0030023457,0.9998237752,0.9883265687,0.9885007670
2455153.9457367184,-0.0029891838,0.9998222662,0.9883244430,0.9885001329
2455153.9457730008,-0.0029760218,0.9998207572,0.9883223203,0.9884995017
2455153.9458092828,-0.0029628599,0.9998192482,0.9883202006,0.9884988736
2455153.9458455653,-0.0029496979,0.9998177391,0.9883180839,0.9884982484
2455153.9458818473,-0.0029365360,0.9998162301,0.9883159702,0.9884976263
2455153.9459181298,-0.0029233740,0.9998147211,0.9883138594,0.9884970071
2455153.9459544118,-0.0029102121,0.9998132121,0.9883117517,0.9884963909
2455153.9459906942,-0.0028970501,0.9998117031,0.9883096469,0.9884957776
2455153.9460269762,-0.0028838882,0.9998101941,0.9883075451,0.9884951674
2455153.9460632587,-0.0028707262,0.9998086850,0.9883054463,0.9884945601
2455153.9460995407,-0.0028575643,0.9998071760,0.9883033504,0.9884939558
2455153.9461358231,-0.0028444023,0.9998056670,0.9883012575,0.9884933544
2455153.9461721051,-0.0028312404,0.9998041580,0.9882991676,0.9884927560
2455153.9462083876,-0.0028180784,0.9998026490,0.9882970807,0.9884921606
2455153.9462446696,-0.0028049165,0.9998011400,0.9882949967,0.9884915682
2455153.9462809521,-0.0027917545,0.9997996309,0.9882929156,0.9884909787
2455153.9463172341,-0.0027785926,0.9997981219,0.9882908376,0.9884903921
2455153.9463535165,-0.0027654306,0.9997966129,0.9882887624,0.9884898085
2455153.9463897985,-0.0027522687,0.9997951039,0.9882866903,0.9884892279
2455153.9464260810,-0.0027391067,0.9997935949,0.9882846210,0.9884886502
2455153.9464623630,-0.0027259448,0.9997920859,0.9882825548,0.9884880754
2455153.9464986455,-0.0027127828,0.9997905768,0.9882804914,0.9884875036
2455153.9465349275,-0.0026996209,0.9997890678,0.9882784310,0.9884869347
2455153.9465712099,-0.0026864589,0.9997875588,0.9882763735,0.9884863687
2455153.9466074919,-0.0026732970,0.9997860498,0.9882743190,0.9884858057
2455153.9466437744,-0.0026601350,0.9997845408,0.9882722674,0.9884852456
2455153.9466800564,-0.0026469731,0.9997830318,0.9882702187,0.9884846885
2455153.9467163389,-0.0026338111,0.9997815227,0.9882681729,0.9884841342
2455153.9467526209,-0.0026206492,0.9997800137,0.9882661301,0.9884835829
2455153.9467889033,-0.0026074872,0.9997785047,0.9882640902,0.9884830345
2455153.9468251853,-0.0025943253,0.9997769957,0.9882620532,0.9884824891
2455153.9468614678,-0.0025811633,0.9997754867,0.9882600192,0.9884819465
2455153.9468977498,-0.0025680014,0.9997739777,0.9882579880,0.9884814069
2455153.9469340323,-0.0025548394,0.9997724686,0.9882559597,0.9884808701
2455153.9469703143,-0.0025416775,0.9997709596,0.9882539344,0.9884803363
2455153.9470065967,-0.0025285155,0.9997694506,0.9882519120,0.9884798054
2455153.9470428787,-0.0025153536,0.9997679416,0.9882498925,0.9884792774
2455153.9470791612,-0.0025021916,0.9997664326,0.9882478758,0.9884787523
2455153.9471154432,-0.0024890297,0.9997649236,0.9882458621,0.9884782300
2455153.9471517256,-0.0024758677,0.9997634145,0.9882438513,0.9884777107
2455153.9471880076,-0.0024627058,0.9997619055,0.9882418433,0.9884771943
2455153.9472242901,-0.0024495437,0.9997603965,0.9882398383,0.9884766807
2455153.9472605721,-0.0024363819,0.9997588875,0.9882378362,0.9884761701
2455153.9472968546,-0.0024232198,0.9997573785,0.9882358369,0.9884756623
2455153.9473331366,-0.0024100580,0.9997558695,0.9882338405,0.9884751575
