hjd,phase,baseline_flux,model_flux,model_normalized_flux
2455153.9105792399,-0.0157431120,1.0012845025,0.9973133793,0.9960339711
2455153.9106155224,-0.0157299499,1.0012829935,0.9972936431,0.9960157614
2455153.9106518044,-0.0157167881,1.0012814845,0.9972738996,0.9959975442
2455153.9106880869,-0.0157036260,1.0012799755,0.9972541486,0.9959793195
2455153.9107243689,-0.0156904642,1.0012784665,0.9972343906,0.9959610877
2455153.9107606513,-0.0156773021,1.0012769574,0.9972146253,0.9959428487
2455153.9107969333,-0.0156641403,1.0012754484,0.9971948535,0.9959246030
2455153.9108332158,-0.0156509782,1.0012739394,0.9971750748,0.9959063504
2455153.9108694978,-0.0156378164,1.0012724304,0.9971552898,0.9958880915
2455153.9109057803,-0.0156246543,1.0012709214,0.9971354983,0.9958698261
2455153.9109420623,-0.0156114925,1.0012694124,0.9971157009,0.9958515546
2455153.9109783447,-0.0155983304,1.0012679033,0.9970958973,0.9958332770
2455153.9110146267,-0.0155851686,1.0012663943,0.9970760882,0.9958149938
2455153.9110509092,-0.0155720065,1.0012648853,0.9970562732,0.9957967046
2455153.9110871912,-0.0155588447,1.0012633763,0.9970364531,0.9957784102
2455153.9111234737,-0.0155456826,1.0012618673,0.9970166274,0.9957601103
2455153.9111597557,-0.0155325208,1.0012603583,0.9969967969,0.9957418055
2455153.9111960381,-0.0155193587,1.0012588492,0.9969769612,0.9957234954
2455153.9112323201,-0.0155061969,1.0012573402,0.9969571210,0.9957051809
2455153.9112686026,-0.0154930348,1.0012558312,0.9969372760,0.9956868614
2455153.9113048846,-0.0154798730,1.0012543222,0.9969174269,0.9956685377
2455153.9113411671,-0.0154667109,1.0012528132,0.9968975732,0.9956502095
2455153.9113774491,-0.0154535491,1.0012513042,0.9968777158,0.9956318774
2455153.9114137315,-0.0154403870,1.0012497951,0.9968578542,0.9956135412
2455153.9114500135,-0.0154272252,1.0012482861,0.9968379891,0.9955952014
2455153.9114862960,-0.0154140631,1.0012467771,0.9968181202,0.9955768577
2455153.9115225780,-0.0154009013,1.0012452681,0.9967982481,0.9955585109
2455153.9115588604,-0.0153877392,1.0012437591,0.9967783726,0.9955401605
2455153.9115951424,-0.0153745774,1.0012422501,0.9967584943,0.9955218073
2455153.9116314249,-0.0153614153,1.0012407411,0.9967386128,0.9955034508
2455153.9116677069,-0.0153482535,1.0012392320,0.9967187289,0.9954850919
2455153.9117039894,-0.0153350914,1.0012377230,0.9966988422,0.9954667301
2455153.9117402714,-0.0153219296,1.0012362140,0.9966789533,0.9954483661
2455153.9117765538,-0.0153087675,1.0012347050,0.9966590619,0.9954299995
2455153.9118128358,-0.0152956057,1.0012331960,0.9966391688,0.9954116312
2455153.9118491183,-0.0152824436,1.0012316870,0.9966192735,0.9953932606
2455153.9118854003,-0.0152692818,1.0012301779,0.9965993767,0.9953748885
2455153.9119216828,-0.0152561197,1.0012286689,0.9965794781,0.9953565145
2455153.9119579648,-0.0152429579,1.0012271599,0.9965595784,0.9953381393
2455153.9119942472,-0.0152297958,1.0012256509,0.9965396771,0.9953197626
2455153.9120305292,-0.0152166340,1.0012241419,0.9965197751,0.9953013850
2455153.9120668117,-0.0152034719,1.0012226329,0.9964998719,0.9952830061
2455153.9121030937,-0.0151903101,1.0012211239,0.9964799681,0.9952646268
2455153.9121393762,-0.0151771480,1.0012196148,0.9964600636,0.9952462465
2455153.9121756582,-0.0151639862,1.0012181058,0.9964401589,0.9952278660
2455153.9122119406,-0.0151508241,1.0012165968,0.9964202537,0.9952094850
2455153.9122482226,-0.0151376623,1.0012150878,0.9964003486,0.9951911040
2455153.9122845051,-0.0151245002,1.0012135788,0.9963804433,0.9951727228
2455153.9123207871,-0.0151113384,1.0012120698,0.9963605385,0.9951543421
2455153.9123570691,-0.0150981765,1.0012105608,0.9963406341,0.9951359616
2455153.9123933516,-0.0150850145,1.0012090517,0.9963207300,0.9951175814
2455153.9124296336,-0.0150718526,1.0012075427,0.9963008269,0.9950992021
2455153.9124659160,-0.0150586906,1.0012060337,0.9962809243,0.9950808233
2455153.9125021980,-0.0150455287,1.0012045247,0.9962610231,0.9950624458
2455153.9125384805,-0.0150323667,1.0012030157,0.9962411227,0.9950440691
2455153.9125747625,-0.0150192048,1.0012015067,0.9962212240,0.9950256940
2455153.9126110449,-0.0150060428,1.0011999976,0.9962013265,0.9950073201
2455153.9126473269,-0.0149928809,1.0011984886,0.9961814309,0.9949889480
2455153.9126836094,-0.0149797189,1.0011969796,0.9961615369,0.9949705774
