2455153.9419737  0.01124 0.00148
2455153.9425177  0.01366 0.00148
2455153.9430616  0.01249 0.00148
2455153.9436055  0.01318 0.00148
2455153.9441495  0.01284 0.00148
2455153.9446934  0.01077 0.00148
2455153.9452605  0.01201 0.00148
2455153.9458044  0.01397 0.00148
2455153.9463484  0.01359 0.00148
2455153.9468923  0.01439 0.00148
2455153.9474362  0.01390 0.00148
2455153.9479802  0.01558 0.00148
2455153.9485241  0.01015 0.00148
2455153.9490796  0.01331 0.00148
2455153.9496351  0.01165 0.00148
2455153.9501791  0.01259 0.00148
2455153.9507230  0.01279 0.00148
2455153.9512669  0.01429 0.00148
2455153.9518109  0.01336 0.00150
2455153.9523548  0.01836 0.00148
2455153.9529103  0.01386 0.00150
2455153.9534542  0.01119 0.00150
2455153.9539982  0.01662 0.00148
2455153.9545537  0.01346 0.00150
2455153.9550976  0.01468 0.00148
2455153.9556416  0.01159 0.00148
2455153.9561855  0.01401 0.00148
2455153.9567410  0.01522 0.00148
2455153.9572850  0.01625 0.00148
2455153.9578289  0.01322 0.00148
2455153.9583728  0.00997 0.00148
2455153.9589168  0.01262 0.00148
2455153.9594607  0.00983 0.00148
2455153.9600046  0.01462 0.00148
2455153.9605717  0.01481 0.00148
2455153.9611157  0.01509 0.00148
2455153.9616596  0.01651 0.00148
2455153.9622035  0.01523 0.00148
2455153.9627475  0.01354 0.00148
2455153.9632914  0.01354 0.00148
2455153.9638353  0.01424 0.00148
2455153.9643908  0.01324 0.00148
2455153.9649348  0.01169 0.00148
2455153.9654903  0.01331 0.00148
2455153.9660342  0.01258 0.00148
2455153.9665782  0.01396 0.00148
2455153.9671221  0.01435 0.00148
2455153.9676660  0.01318 0.00148
2455153.9682215  0.01263 0.00148
2455153.9687655  0.01303 0.00148
2455153.9693094  0.01354 0.00148
2455153.9698649  0.01251 0.00148
2455153.9704089  0.01116 0.00148
2455153.9709528  0.01108 0.00148
2455153.9720522  0.01536 0.00148
2455153.9725962  0.01157 0.00148
2455153.9731401  0.01337 0.00148
2455153.9736840  0.01201 0.00148
2455153.9742280  0.01202 0.00148
2455153.9747719  0.01167 0.00148
2455153.9753274  0.01222 0.00148
2455153.9758829  0.01274 0.00148
2455153.9764269  0.01227 0.00148
2455153.9769708  0.01425 0.00148
2455153.9775148  0.01516 0.00148
2455153.9780587  0.01280 0.00148
2455153.9786026  0.01297 0.00148
2455153.9791466  0.01136 0.00148
2455153.9797021  0.01268 0.00148
2455153.9802576  0.01334 0.00148
2455153.9808015  0.01200 0.00148
2455153.9813455  0.01247 0.00148
2455153.9818894  0.01348 0.00148
2455153.9824333  0.01098 0.00148
2455153.9829773  0.01435 0.00148
2455153.9835328  0.01095 0.00148
2455153.9840767  0.01037 0.00148
2455153.9846322  0.01265 0.00148
2455153.9851762  0.01199 0.00148
2455153.9857201  0.01496 0.00148
2455153.9862640  0.01098 0.00148
2455153.9868080  0.01049 0.00148
2455153.9873635  0.01122 0.00148
2455153.9879074  0.01176 0.00148
2455153.9884513  0.00983 0.00148
2455153.9889953  0.01093 0.00148
2455153.9895392  0.01617 0.00148
2455153.9900832  0.01064 0.00148
2455153.9906387  0.00760 0.00148
2455153.9911942  0.01170 0.00148
2455153.9917381  0.01132 0.00148
2455153.9922821  0.00869 0.00148
2455153.9928260  0.01304 0.00148
2455153.9933815  0.00824 0.00148
2455153.9939254  0.00816 0.00148
2455153.9944694  0.01069 0.00148
2455153.9950133  0.01283 0.00148
2455153.9955688  0.00935 0.00148
2455153.9961127  0.00729 0.00148
2455153.9966567  0.00817 0.00148
2455153.9972006  0.00934 0.00148
2455153.9977446  0.00539 0.00148
2455153.9983001  0.00927 0.00148
2455153.9988440  0.00627 0.00148
2455153.9993995  0.01034 0.00148
2455153.9999434  0.00755 0.00148
2455154.0004874  0.00698 0.00148
2455154.0010313  0.00463 0.00148
2455154.0015868  0.00617 0.00148
2455154.0021308  0.00655 0.00148
2455154.0026747  0.00421 0.00148
2455154.0032186  0.00187 0.00148
2455154.0037742  0.00289 0.00148
2455154.0043181  0.00464 0.00148
2455154.0048620  0.00151 0.00148
2455154.0054060  0.00490 0.00148
2455154.0059499  0.00492 0.00148
2455154.0065054  0.00431 0.00148
2455154.0070493  0.00399 0.00148
2455154.0075933  0.00397 0.00148
2455154.0081372  0.00597 0.00148
2455154.0086927  0.00268 0.00148
2455154.0092367 -0.00041 0.00148
2455154.0097806 -0.00102 0.00148
2455154.0103361  0.00355 0.00148
2455154.0108800  0.00174 0.00148
2455154.0114240  0.00453 0.00148
2455154.0119679  0.00221 0.00148
2455154.0125119  0.00595 0.00148
2455154.0130558  0.00371 0.00148
2455154.0135997  0.00301 0.00148
2455154.0141668  0.00297 0.00148
2455154.0147107 -0.00003 0.00148
2455154.0152547  0.00106 0.00148
2455154.0157986  0.00282 0.00148
2455154.0163426  0.00104 0.00148
2455154.0168865  0.00184 0.00148
2455154.0174304  0.00014 0.00148
