2455167.7471464  0.02137 0.00151
2455167.7475861  0.01110 0.00151
2455167.7480375  0.01225 0.00151
2455167.7484657  0.01082 0.00151
2455167.7489170  0.01109 0.00151
2455167.7498082  0.02563 0.00151
2455167.7502364  0.02045 0.00151
2455167.7506646  0.00976 0.00151
2455167.7510928  0.01839 0.00151
2455167.7515210  0.01881 0.00151
2455167.7519607  0.02182 0.00151
2455167.7524005  0.02498 0.00151
2455167.7532801  0.01302 0.00151
2455167.7537198  0.01347 0.00151
2455167.7545762  0.01257 0.00151
2455167.7550276  0.01831 0.00151
2455167.7554674  0.01083 0.00151
2455167.7559071  0.01673 0.00151
2455167.7563353  0.01266 0.00151
2455167.7576431  0.01249 0.00151
2455167.7580713  0.01921 0.00151
2455167.7584995  0.01097 0.00151
2455167.7589393  0.02438 0.00151
2455167.7593675  0.01271 0.00151
2455167.7611381  0.01653 0.00151
2455167.7615779  0.02046 0.00151
2455167.7620061  0.01803 0.00151
2455167.7624343  0.02376 0.00151
2455167.7628857  0.02553 0.00152
2455167.7646216  0.01597 0.00151
2455167.7654780  0.02035 0.00151
2455167.7659062  0.01168 0.00151
2455167.7663460  0.01054 0.00151
2455167.7667742  0.01042 0.00151
2455167.7672371  0.00921 0.00151
2455167.7676653  0.01022 0.00151
2455167.7680935  0.01880 0.00151
2455167.7685217  0.01021 0.00151
2455167.7689615  0.01176 0.00151
2455167.7693897  0.00886 0.00151
2455167.7698179  0.01503 0.00151
2455167.7702461  0.00967 0.00151
2455167.7711372  0.01959 0.00151
2455167.7716117  0.01395 0.00151
2455167.7720399  0.01597 0.00151
2455167.7724681  0.01210 0.00151
2455167.7733361  0.00768 0.00151
2455167.7737874  0.01937 0.00151
2455167.7742156  0.00836 0.00151
2455167.7746438  0.01924 0.00151
2455167.7750720  0.00821 0.00151
2455167.7755234  0.00673 0.00151
2455167.7759516  0.00812 0.00151
2455167.7763798  0.01357 0.00152
2455167.7768080  0.00628 0.00151
2455167.7772362  0.01054 0.00151
2455167.7776760  0.00638 0.00151
2455167.7781157  0.00765 0.00151
2455167.7785671  0.00571 0.00151
2455167.7789953  0.01114 0.00151
2455167.7794466  0.00825 0.00151
