hjd,phase,rzmag,e_rzmag,relative_flux,relative_flux_error,baseline_flux,normalized_flux,normalized_flux_error,model_flux,model_normalized_flux,residual_flux
2455153.9622034999,0.0029844001,0.0152300000,0.0014800000,0.9860705765,0.0013441428,0.9991373955,0.9869218997,0.0013453032,0.9876472187,0.9884999032,-0.0015780034
2455153.9627474998,0.0031817447,0.0135400000,0.0014800000,0.9876066373,0.0013462366,0.9991147700,0.9884816710,0.0013474294,0.9876346522,0.9885097107,-0.0000280397
2455153.9632914001,0.0033790531,0.0135400000,0.0014800000,0.9876066373,0.0013462366,0.9990921486,0.9885040521,0.0013474599,0.9876227704,0.9885201999,-0.0000161477
2455153.9638352999,0.0035763613,0.0142400000,0.0014800000,0.9869701090,0.0013453689,0.9990695272,0.9878893131,0.0013466219,0.9876115819,0.9885313835,-0.0006420704
2455153.9643907999,0.0037778776,0.0132400000,0.0014800000,0.9878795608,0.0013466086,0.9990464234,0.9888224788,0.0013478940,0.9876008831,0.9885435351,0.0002789438
2455153.9649347998,0.0039752222,0.0116900000,0.0014800000,0.9892908676,0.0013485324,0.9990237979,0.9902575591,0.0013498502,0.9875911321,0.9885561628,0.0017013964
2455153.9654903002,0.0041767387,0.0133100000,0.0014800000,0.9878158719,0.0013465218,0.9990006940,0.9888039897,0.0013478688,0.9875819315,0.9885698153,0.0002341744
2455153.9660342000,0.0043740469,0.0125800000,0.0014800000,0.9884802581,0.0013474275,0.9989780727,0.9894914464,0.0013488058,0.9875736792,0.9885839401,0.0009075063
2455153.9665782000,0.0045713914,0.0139600000,0.0014800000,0.9872246711,0.0013457159,0.9989554471,0.9882569577,0.0013471231,0.9875661900,0.9885988338,-0.0003418761
2455153.9671220998,0.0047686996,0.0143500000,0.0014800000,0.9868701204,0.0013452326,0.9989328258,0.9879244079,0.0013466698,0.9875594846,0.9886145085,-0.0006901006
2455153.9676660001,0.0049660080,0.0131800000,0.0014800000,0.9879341546,0.0013466831,0.9989102044,0.9890119755,0.0013481523,0.9875535804,0.9886309861,0.0003809894
2455153.9682215001,0.0051675244,0.0126300000,0.0014800000,0.9884347379,0.0013473654,0.9988871006,0.9895359920,0.0013488666,0.9875483986,0.9886486651,0.0008873268
2455153.9687655000,0.0053648689,0.0130300000,0.0014800000,0.9880706522,0.0013468691,0.9988644750,0.9891939065,0.0013484003,0.9875441774,0.9886668333,0.0005270732
2455153.9693093998,0.0055621771,0.0135400000,0.0014800000,0.9876066373,0.0013462366,0.9988418537,0.9887517565,0.0013477976,0.9875408253,0.9886858682,0.0000658883
2455153.9698649002,0.0057636936,0.0125100000,0.0014800000,0.9885439898,0.0013475143,0.9988187498,0.9897130885,0.0013491080,0.9875383247,0.9887062341,0.0010068545
2455153.9704089002,0.0059610382,0.0111600000,0.0014800000,0.9897739059,0.0013491909,0.9987961243,0.9909669068,0.0013508171,0.9875368082,0.9887271127,0.0022397941
2455153.9709528000,0.0061583464,0.0110800000,0.0014800000,0.9898468378,0.0013492903,0.9987735029,0.9910623729,0.0013509472,0.9875362448,0.9887489425,0.0023134304
2455153.9720522002,0.0065571711,0.0153600000,0.0014800000,0.9859525169,0.0013439818,0.9987277777,0.9872084655,0.0013456938,0.9875381529,0.9887961214,-0.0015876559
2455153.9725962002,0.0067545156,0.0115700000,0.0014800000,0.9894002141,0.0013486815,0.9987051522,0.9906829978,0.0013504301,0.9875406806,0.9888210533,0.0018619445
2455153.9731401000,0.0069518238,0.0133700000,0.0014800000,0.9877612847,0.0013464474,0.9986825308,0.9890643465,0.0013482237,0.9875443118,0.9888470873,0.0002172592
2455153.9736839999,0.0071491321,0.0120100000,0.0014800000,0.9889993360,0.0013481350,0.9986599095,0.9903264631,0.0013499441,0.9875490939,0.9888742749,0.0014521882
2455153.9742279998,0.0073464766,0.0120200000,0.0014800000,0.9889902270,0.0013481226,0.9986372840,0.9903397789,0.0013499622,0.9875550797,0.9889026733,0.0014371056
2455153.9747719001,0.0075437850,0.0116700000,0.0014800000,0.9893090912,0.0013485573,0.9986146626,0.9906815193,0.0013504281,0.9875623245,0.9889323294,0.0017491899
2455153.9753274000,0.0077453013,0.0122200000,0.0014800000,0.9888080650,0.0013478743,0.9985915587,0.9902027074,0.0013497754,0.9875710905,0.9889639882,0.0012387191
2455153.9758828999,0.0079468177,0.0127400000,0.0014800000,0.9883346010,0.0013472289,0.9985684549,0.9897514748,0.0013491603,0.9875813138,0.9889971077,0.0007543671
2455153.9764268999,0.0081441622,0.0122700000,0.0014800000,0.9887625298,0.0013478122,0.9985458294,0.9902024531,0.0013497750,0.9875928209,0.9890310407,0.0011714124
